"지수종류별(1)",지수종류별(2),2005. 01,2005. 02,2005. 03,2005. 04,2005. 05,2005. 06,2005. 07,2005. 08,2005. 09,2005. 10,2005. 11,2005. 12,2006. 01,2006. 02,2006. 03,2006. 04,2006. 05,2006. 06,2006. 07,2006. 08,2006. 09,2006. 10,2006. 11,2006. 12,2007. 01,2007. 02,2007. 03,2007. 04,2007. 05,2007. 06,2007. 07,2007. 08,2007. 09,2007. 10,2007. 11,2007. 12,2008. 01,2008. 02,2008. 03,2008. 04,2008. 05,2008. 06,2008. 07,2008. 08,2008. 09,2008. 10,2008. 11,2008. 12,2009. 01,2009. 02,2009. 03,2009. 04,2009. 05,2009. 06,2009. 07,2009. 08,2009. 09,2009. 10,2009. 11,2009. 12,2010. 01,2010. 02,2010. 03,2010. 04,2010. 05,2010. 06,2010. 07,2010. 08,2010. 09,2010. 10,2010. 11,2010. 12,2011. 01,2011. 02,2011. 03,2011. 04,2011. 05,2011. 06,2011. 07,2011. 08,2011. 09,2011. 10,2011. 11,2011. 12,2012. 01,2012. 02,2012. 03,2012. 04,2012. 05,2012. 06,2012. 07,2012. 08,2012. 09,2012. 10,2012. 11,2012. 12,2013. 01,2013. 02,2013. 03,2013. 04,2013. 05,2013. 06,2013. 07,2013. 08,2013. 09,2013. 10,2013. 11,2013. 12,2014. 01,2014. 02,2014. 03,2014. 04,2014. 05,2014. 06,2014. 07,2014. 08,2014. 09,2014. 10,2014. 11,2014. 12,2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01
"KOSPI",소계,932.70,1011.36,965.68,911.30,970.21,1008.16,1111.29,1083.33,1221.01,1158.11,1297.44,1379.37,1399.83,1371.59,1359.60,1419.73,1317.70,1295.15,1297.82,1352.74,1371.41,1364.55,1432.21,1434.46,1360.23,1417.34,1452.55,1542.24,1700.91,1743.60,1933.27,1873.24,1946.48,2064.85,1906.00,1897.13,1624.68,1711.62,1703.99,1825.47,1852.02,1674.92,1594.67,1474.24,1448.06,1113.06,1076.07,1124.47,1162.11,1063.03,1206.26,1369.36,1395.89,1390.07,1557.29,1591.85,1673.14,1580.69,1555.60,1682.77,1602.43,1594.58,1692.85,1741.56,1641.25,1698.29,1759.33,1742.75,1872.81,1882.95,1904.63,2051.00,2069.73,1939.30,2106.70,2192.36,2142.47,2100.69,2133.21,1880.11,1769.65,1909.03,1847.51,1825.74,1955.79,2030.25,2014.04,1981.99,1843.47,1854.01,1881.99,1905.12,1996.21,1912.06,1932.90,1997.05,1961.94,2026.49,2004.89,1963.95,2001.05,1863.32,1914.03,1926.36,1996.96,2030.09,2044.87,2011.34,1941.15,1979.99,1985.61,1961.79,1994.96,2002.21,2076.12,2068.54,2020.09,1964.43,1980.78,1915.59,1949.26,1985.80,2041.03,2127.17,2114.80,2074.20,2030.16,1941.49,1962.81,2029.47,1991.97,1961.31,1912.06,1916.66,1995.85,1994.15,1983.40,1970.35,2016.19,2034.65,2043.63,2008.19,1983.48,2026.46,2067.57,2091.64,2160.23,2205.44,2347.38,2391.79,2402.71,2363.19,2394.47,2523.43,2476.37,2467.49,2566.46,2427.36,2445.85,2515.38,2423.01,2326.13,2295.26,2322.88,2343.07,2029.69,2096.86,2041.04,2204.85,2195.44,2140.67,2203.59,2041.74,2130.62,2024.55,1967.79,2063.05,2083.48,2087.96,2197.67,2119.01
"KOSPI 200",소계,121.06,130.85,124.78,117.58,124.84,129.43,143.32,140.09,157.55,148.84,165.95,177.43,180.65,177.45,176.21,184.10,171.01,167.45,168.51,175.44,178.05,176.84,184.96,185.39,175.99,183.20,187.60,198.55,216.45,221.31,244.32,238.28,247.20,260.42,241.91,241.27,207.77,216.85,217.65,235.00,237.46,213.52,204.12,188.96,186.62,147.50,140.66,146.35,151.33,138.07,157.01,176.00,178.70,178.99,202.96,207.44,219.75,206.81,204.75,221.86,210.34,208.36,221.58,227.95,214.34,220.85,229.25,226.81,242.95,242.98,249.64,271.19,273.12,256.36,278.87,290.39,282.76,275.17,277.11,242.16,230.41,249.88,241.19,238.08,256.90,267.13,266.58,264.35,244.05,244.90,250.08,250.56,262.49,250.18,254.25,263.92,258.07,268.01,263.39,255.72,261.47,242.27,247.99,251.74,260.91,266.91,269.57,264.24,252.89,258.41,258.11,255.33,259.94,260.56,269.68,265.41,256.77,250.45,253.70,244.05,249.88,251.46,257.28,266.42,260.39,252.27,244.30,232.80,236.71,249.41,244.24,240.38,232.10,234.63,245.86,245.20,243.63,244.14,251.48,256.87,257.49,255.93,254.26,260.01,268.09,270.06,280.64,287.21,304.67,311.76,314.60,308.28,316.27,333.57,325.25,324.74,333.38,312.86,314.61,323.56,310.92,299.66,297.45,300.07,300.51,264.01,271.35,261.98,285.89,283.80,276.48,284.92,263.89,277.50,266.34,259.00,273.55,275.82,276.78,293.77,284.53
"V-KOSPI 200",소계,18.12,16.67,19.69,22.48,16.35,15.76,16.88,21.12,23.82,25.85,23.38,19.44,21.57,19.90,18.19,17.98,21.21,22.72,23.75,17.90,16.71,16.84,14.68,15.40,17.99,20.38,19.64,18.99,18.59,19.95,27.71,32.33,25.78,34.05,32.76,25.13,31.39,29.21,27.05,22.04,23.06,25.15,23.82,25.66,36.78,81.27,57.79,48.61,48.21,47.36,39.56,34.57,33.42,27.26,25.62,23.97,22.85,25.41,21.94,20.35,23.29,20.59,17.68,18.27,24.01,21.90,19.26,18.79,16.77,18.60,22.76,15.83,16.30,20.06,16.57,18.36,18.56,19.24,21.00,28.05,40.56,31.02,29.04,26.40,23.36,19.40,17.56,17.31,22.69,20.03,20.32,20.35,17.23,18.37,14.87,15.89,15.18,15.19,14.34,14.74,14.16,17.11,16.26,15.73,15.38,14.41,14.42,12.84,14.43,13.49,13.82,11.60,10.86,11.48,12.69,10.86,12.69,13.99,11.59,12.97,13.67,11.11,11.09,11.76,12.59,14.45,13.54,19.75,20.48,14.22,14.37,14.18,17.93,17.56,12.33,12.42,11.81,13.90,12.60,11.56,14.11,14.61,12.80,11.51,12.53,10.64,11.06,12.27,13.18,12.00,12.79,13.64,13.41,12.06,13.20,12.06,14.54,15.55,17.54,13.59,14.55,16.04,13.05,11.64,11.24,20.49,18.57,18.99,15.51,15.49,14.29,13.28,17.32,14.43,15.29,15.75,15.15,13.59,13.96,14.69,19.29
"KOSPI 100",소계,906.48,975.67,931.13,878.52,932.65,961.79,1069.75,1044.27,1171.84,1104.27,1228.07,1320.34,1348.32,1321.33,1311.64,1372.01,1277.06,1255.62,1264.67,1313.79,1330.85,1319.77,1376.68,1380.07,1314.99,1368.82,1397.00,1473.24,1593.30,1629.11,1790.66,1745.63,1813.93,1897.84,1764.43,1769.98,1532.82,1589.24,1595.55,1727.82,1748.17,1574.24,1505.80,1397.89,1381.29,1100.37,1045.12,1084.76,1122.58,1022.18,1160.76,1297.06,1320.99,1326.32,1510.79,1545.57,1642.09,1544.63,1531.43,1659.25,1575.85,1560.23,1659.14,1708.38,1606.13,1651.78,1717.60,1698.52,1815.67,1811.77,1868.86,2033.25,2045.39,1923.12,2092.03,2176.23,2119.48,2056.04,2065.87,1804.76,1728.20,1874.74,1811.84,1790.90,1932.33,2013.09,2014.43,2004.38,1849.74,1851.85,1895.30,1895.18,1984.57,1892.15,1926.62,2001.68,1958.36,2033.29,1994.02,1933.75,1980.27,1835.38,1874.23,1910.21,1977.35,2025.09,2046.94,2006.32,1913.71,1955.26,1951.39,1928.15,1967.20,1971.49,2041.69,2004.30,1933.80,1890.26,1917.47,1842.99,1881.44,1890.27,1927.61,1990.63,1936.97,1867.77,1807.71,1718.90,1752.78,1857.57,1812.27,1782.88,1713.30,1739.52,1825.81,1821.05,1808.94,1815.74,1876.09,1924.39,1927.68,1929.03,1917.95,1960.74,2029.75,2038.50,2123.33,2176.43,2306.29,2368.36,2391.54,2342.26,2415.09,2549.20,2475.14,2472.68,2524.97,2374.79,2389.64,2456.33,2351.12,2271.63,2257.55,2276.62,2276.03,2010.67,2056.23,1979.09,2169.79,2152.14,2097.06,2165.44,2007.85,2114.72,2032.30,1976.51,2091.10,2110.96,2118.54,2253.74,2189.17
"KOSPI 50",소계,864.58,924.86,881.45,832.59,885.78,910.88,1016.56,989.49,1105.37,1040.49,1151.57,1235.20,1262.51,1233.97,1224.60,1276.86,1191.13,1175.02,1184.66,1228.14,1240.89,1224.04,1270.53,1276.05,1223.59,1269.46,1289.51,1346.57,1429.13,1465.28,1592.27,1542.01,1606.05,1670.12,1573.93,1582.04,1382.74,1416.32,1426.65,1549.27,1574.99,1409.51,1342.53,1248.79,1235.46,1002.38,942.33,970.04,1004.79,915.50,1038.21,1145.63,1161.35,1170.19,1350.85,1376.50,1459.76,1369.67,1353.59,1470.01,1403.04,1384.73,1475.24,1517.77,1414.43,1442.36,1498.58,1462.66,1559.26,1559.44,1616.05,1769.42,1776.97,1677.69,1815.43,1889.16,1829.35,1763.26,1759.78,1528.23,1483.01,1609.48,1560.03,1544.82,1668.40,1741.13,1743.69,1745.65,1600.64,1597.29,1647.64,1631.85,1712.87,1631.49,1664.59,1730.31,1691.49,1760.52,1725.39,1666.92,1712.18,1585.84,1611.57,1652.99,1706.68,1752.01,1776.99,1734.89,1648.87,1687.42,1680.03,1661.78,1697.65,1696.26,1753.79,1709.76,1642.90,1615.26,1644.30,1581.47,1611.74,1611.67,1636.78,1676.15,1627.44,1560.10,1501.83,1426.79,1467.45,1569.58,1536.50,1511.43,1445.18,1479.93,1557.22,1544.43,1540.93,1555.47,1608.62,1657.89,1661.76,1670.20,1668.76,1710.64,1779.10,1774.97,1856.45,1904.90,2007.35,2072.82,2095.18,2057.70,2143.75,2271.18,2192.88,2191.53,2221.44,2100.84,2114.30,2165.77,2059.88,1990.06,1986.26,2003.55,1992.62,1770.64,1795.70,1723.22,1902.81,1884.17,1837.13,1901.19,1761.47,1856.21,1796.13,1750.36,1853.60,1880.32,1886.18,2010.91,1965.61
"시가총액규모별",대형주,927.42,997.41,953.39,902.01,960.25,986.67,1091.79,1066.32,1193.74,1123.23,1253.91,1347.45,1374.02,1343.54,1333.93,1393.76,1297.29,1280.61,1287.61,1339.19,1351.79,1341.76,1400.27,1405.02,1337.62,1394.36,1422.62,1499.21,1632.35,1674.90,1833.91,1783.41,1854.06,1953.54,1821.79,1828.24,1577.27,1644.04,1657.05,1780.91,1804.90,1614.75,1544.56,1427.30,1408.04,1099.69,1051.02,1094.56,1134.61,1026.00,1163.37,1304.79,1328.26,1330.23,1504.72,1539.06,1631.88,1537.55,1518.13,1643.82,1569.00,1554.23,1655.60,1709.50,1608.00,1660.44,1726.39,1709.41,1837.68,1836.06,1881.89,2039.99,2056.98,1925.32,2094.37,2179.64,2129.69,2070.23,2077.90,1817.11,1726.04,1869.15,1805.89,1783.06,1923.53,2000.68,1999.77,1983.18,1837.98,1843.10,1883.35,1891.52,1979.30,1890.76,1920.61,1991.07,1946.50,2015.10,1975.93,1916.37,1957.26,1825.30,1869.50,1901.78,1968.47,2010.42,2031.24,1995.67,1910.21,1945.61,1945.78,1920.88,1958.55,1963.05,2037.63,2013.26,1951.57,1900.06,1929.18,1852.81,1890.28,1897.54,1940.56,2012.74,1970.48,1909.79,1862.97,1771.02,1816.37,1905.17,1865.13,1836.84,1776.84,1794.66,1874.17,1859.07,1851.32,1847.22,1894.28,1928.53,1934.36,1923.26,1902.01,1941.33,1995.73,2010.33,2087.65,2134.11,2275.33,2329.36,2348.44,2303.69,2361.49,2496.26,2424.57,2419.11,2486.60,2343.76,2363.14,2420.70,2306.20,2228.48,2210.36,2232.34,2248.06,1974.92,2018.17,1958.69,2128.31,2117.28,2059.43,2120.09,1968.83,2065.36,1977.02,1919.65,2023.92,2049.19,2052.75,2173.71,2105.45
"시가총액규모별",중형주,919.61,1074.67,1023.21,964.42,1022.34,1163.36,1230.37,1198.59,1417.32,1394.47,1586.85,1578.17,1542.13,1540.41,1546.82,1636.99,1488.00,1387.60,1368.36,1460.19,1525.57,1547.59,1684.49,1667.41,1517.99,1579.19,1657.20,1856.77,2217.56,2271.29,2732.05,2645.69,2687.30,2851.75,2524.12,2445.11,2069.13,2279.39,2142.36,2271.29,2305.92,2214.43,2044.65,1888.34,1810.38,1236.95,1289.29,1397.04,1398.28,1357.18,1537.05,1861.31,1900.29,1840.46,1974.30,2000.06,2016.95,1928.94,1850.14,1986.60,1827.85,1834.04,1902.94,1890.68,1810.13,1928.13,1953.06,1949.51,2151.66,2247.94,2161.43,2266.32,2331.78,2154.42,2318.46,2402.23,2353.11,2431.23,2601.85,2348.53,2082.65,2221.43,2159.01,2124.86,2233.39,2262.67,2145.45,2015.56,1921.48,1967.23,1917.97,2031.43,2147.40,2075.03,2048.81,2096.98,2102.81,2138.47,2218.51,2278.68,2276.91,2104.22,2195.89,2090.09,2198.11,2191.13,2180.14,2170.68,2168.92,2211.18,2225.20,2180.97,2167.51,2202.01,2266.24,2355.01,2369.04,2277.96,2255.73,2224.46,2318.90,2442.86,2572.76,2736.51,2835.75,2954.20,2927.13,2866.97,2797.24,2726.46,2716.12,2693.76,2669.08,2581.75,2670.29,2742.76,2708.38,2639.95,2670.80,2629.57,2645.91,2485.45,2439.16,2491.21,2445.11,2539.16,2552.32,2608.84,2783.54,2767.69,2736.86,2693.49,2561.71,2667.27,2759.28,2735.16,2999.17,2783.51,2763.67,2881.07,2905.48,2749.50,2649.22,2684.57,2745.35,2242.65,2452.81,2423.77,2520.52,2542.83,2503.59,2556.46,2316.59,2349.32,2174.63,2116.10,2171.97,2169.32,2188.41,2238.19,2082.49
"시가총액규모별",소형주,504.03,612.42,574.27,552.63,577.59,652.59,738.05,693.28,820.18,855.32,1012.68,991.11,970.27,970.99,960.79,1007.92,916.80,876.34,853.47,891.42,936.05,920.41,1006.63,974.40,940.85,981.46,1052.31,1141.47,1330.08,1362.31,1548.43,1516.21,1554.78,1485.74,1354.25,1357.13,1207.73,1308.68,1245.07,1273.06,1323.19,1284.73,1191.26,1079.12,1003.16,710.26,709.85,754.07,789.10,785.05,895.77,1101.75,1124.29,1102.91,1163.15,1203.53,1168.85,1124.53,1079.87,1161.95,1112.71,1148.47,1208.76,1253.91,1187.96,1220.75,1243.45,1217.57,1296.47,1403.36,1320.18,1348.88,1356.75,1283.86,1348.00,1361.92,1321.96,1330.31,1448.42,1318.73,1162.84,1241.32,1208.11,1273.37,1323.21,1460.62,1392.44,1311.29,1229.04,1252.46,1223.65,1291.33,1360.51,1344.11,1320.83,1300.82,1357.66,1382.36,1436.77,1509.87,1560.38,1444.28,1496.51,1444.57,1469.19,1446.43,1440.39,1405.84,1451.52,1519.35,1593.92,1644.07,1694.03,1675.58,1742.45,1802.22,1832.46,1801.14,1725.86,1703.33,1769.45,1895.38,2056.15,2174.37,2260.32,2260.70,2264.57,2122.75,2153.43,2128.74,2097.69,2045.85,2014.93,2005.36,2108.88,2173.16,2158.38,2131.60,2203.36,2114.46,2161.57,2016.19,1970.09,2054.29,2049.58,2061.25,2085.16,2075.41,2156.86,2161.14,2084.64,2092.38,1980.84,2011.55,2089.49,2033.49,2271.74,2167.81,2250.71,2384.05,2435.87,2193.68,2111.09,2205.36,2224.14,1787.25,1910.76,1868.16,2044.54,1989.04,1963.50,2051.89,1939.09,2015.19,1819.32,1782.46,1813.96,1785.62,1773.89,1810.19,1730.31
"F-KOSPI 200",소계,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,947.06,979.68,994.41,1053.69,1144.60,1154.86,1277.22,1244.42,1290.02,1353.07,1254.61,1252.63,1076.35,1122.94,1121.11,1221.06,1222.87,1099.31,1048.68,967.11,936.31,740.18,706.45,744.27,768.59,694.11,798.32,891.93,895.72,899.36,1023.23,1041.11,1112.79,1032.84,1025.05,1129.30,1062.81,1054.43,1128.25,1159.41,1079.86,1119.93,1167.87,1149.35,1234.21,1226.11,1269.15,1391.42,1392.19,1298.24,1419.37,1470.69,1429.99,1393.86,1401.67,1216.98,1162.36,1276.67,1223.58,1215.88,1316.01,1361.87,1353.11,1339.72,1228.04,1232.61,1256.44,1254.68,1317.13,1249.08,1273.51,1329.58,1290.61,1344.57,1313.78,1275.35,1300.89,1193.22,1224.78,1237.35,1287.38,1315.77,1322.13,1303.66,1248.94,1263.67,1261.13,1246.49,1273.09,1264.44,1318.05,1288.70,1240.73,1207.90,1226.24,1184.60,1219.56,1223.93,1244.91,1295.90,1262.31,1215.65,1173.00,1113.48,1136.19,1207.32,1176.80,1167.53,1127.96,1142.04,1190.68,1185.61,1175.94,1175.52,1214.74,1234.47,1237.64,1229.50,1218.23,1260.66,1305.02,1307.68,1362.28,1392.27,1475.69,1508.92,1518.56,1485.29,1527.07,1607.59,1565.29,1579.84,1622.47,1515.90,1524.33,1558.62,1498.26,1448.16,1438.27,1445.99,1454.29,1273.47,1309.63,1276.90,1398.50,1383.39,1347.26,1387.11,1280.67,1352.31,1296.21,1258.81,1330.93,1342.34,1347.44,1446.82,1397.56
"F-KOSPI 200 인버스지수",소계,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1058.07,1137.56,1144.11,1039.02,1103.09,1110.54,1038.66,1010.70,1081.99,1042.46,999.58,1015.38,946.60,952.68,919.72,839.56,839.81,900.35,822.49,794.06,814.95,835.90,831.31,944.22,971.98,880.86,913.57,915.03,844.75,816.80,823.07,832.20,905.76,900.95,882.94,884.25,841.51,887.94,871.20,835.64,861.71,827.63,847.75,873.44,856.93,932.50,908.19,899.20,865.38,847.45,843.45,856.28,893.89,883.97,886.35,898.05,880.16,887.15,852.17,872.42,907.33,932.01,918.91,951.52,924.50,922.28,907.42,872.17,895.23,929.98,963.45,1013.57,992.14,933.90,957.78,965.06,996.78,983.66,943.96,948.01,956.46,955.63,924.64,910.17,907.47,913.78,921.63,891.17,861.37,860.28,826.13,808.73,762.68,746.20,741.61,758.04,737.38,700.62,719.45,712.76,694.22,741.35,736.04,719.84,748.98,774.65,780.22,776.14,771.94,878.77,853.59,874.70,797.99,806.91,828.82,805.01,871.57,825.58,861.01,885.67,837.78,830.42,826.81,769.76,795.12
"KOSPI 200 레버리지지수",소계,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,207.72,233.94,246.65,216.67,229.13,245.96,239.70,274.22,273.28,287.17,337.76,341.22,299.22,351.89,379.91,357.49,336.79,339.88,254.06,225.57,262.64,241.79,233.43,270.16,290.78,288.42,282.35,238.92,238.95,247.46,247.25,269.98,244.25,251.29,269.98,257.11,276.39,266.10,249.82,260.28,222.26,231.79,237.94,254.83,265.83,270.12,258.78,236.11,245.69,244.27,238.42,246.34,246.72,263.50,254.47,237.55,225.15,230.49,212.58,222.17,224.56,234.41,250.76,238.90,223.71,209.16,189.19,194.77,215.76,206.31,199.28,184.99,188.38,206.41,204.83,201.80,202.01,213.85,222.67,223.15,220.01,216.51,225.93,239.68,242.88,261.75,273.67,307.13,321.03,326.29,312.61,328.41,364.58,345.82,343.90,361.47,317.02,319.26,336.81,310.24,287.38,282.45,286.71,286.95,220.13,231.73,215.32,255.40,251.00,237.60,251.58,215.00,237.24,217.83,205.32,228.52,231.69,232.67,261.45,244.18
